theta,q,theta_via_q,y_rep
0.66833507,0.83416754,0.66833507,80.0
0.51694569,0.75847285,0.51694569,79.0
0.66816138,0.83408069,0.66816138,88.0
0.57511113,0.78755556,0.57511113,79.0
0.60345249,0.80172624,0.60345249,78.0
0.50634595,0.75317297,0.50634595,78.0
0.67637888,0.83818944,0.67637888,83.0
0.51777011,0.75888505,0.51777011,71.0
0.58701108,0.79350554,0.58701108,77.0
0.60770534,0.80385267,0.60770534,80.0
0.54374006,0.77187003,0.54374006,69.0
0.63369818,0.81684909,0.63369818,87.0
0.63412278,0.81706139,0.63412278,83.0
0.64521007,0.82260504,0.64521007,83.0
0.66428343,0.83214172,0.66428343,88.0
0.60559148,0.80279574,0.60559148,78.0
0.49967511,0.74983755,0.49967511,72.0
0.47997552,0.73998776,0.47997552,72.0
0.60602469,0.80301235,0.60602469,84.0
0.63203609,0.81601805,0.63203609,76.0
0.62440283,0.81220142,0.62440283,81.0
0.44751577,0.72375789,0.44751577,74.0
0.47590043,0.73795021,0.47590043,67.0
0.48173425,0.74086713,0.48173425,81.0
0.47104882,0.73552441,0.47104882,75.0
0.50238087,0.75119044,0.50238087,78.0
0.4880333,0.74401665,0.4880333,81.0
0.59874444,0.79937222,0.59874444,77.0
0.49715446,0.74857723,0.49715446,66.0
0.50027078,0.75013539,0.50027078,66.0
0.51139827,0.75569913,0.51139827,74.0
0.51375406,0.75687703,0.51375406,75.0
0.48529183,0.74264591,0.48529183,68.0
0.48957326,0.74478663,0.48957326,66.0
0.64274422,0.82137211,0.64274422,88.0
0.5465449,0.77327245,0.5465449,79.0
0.35548031,0.67774016,0.35548031,69.0
0.37806076,0.68903038,0.37806076,71.0
0.38164468,0.69082234,0.38164468,71.0
0.5672947,0.78364735,0.5672947,77.0
0.64355097,0.82177549,0.64355097,81.0
0.52191792,0.76095896,0.52191792,78.0
0.53916926,0.76958463,0.53916926,84.0
0.69473971,0.84736986,0.69473971,90.0
0.56960164,0.78480082,0.56960164,71.0
0.52036157,0.76018078,0.52036157,70.0
0.40014072,0.70007036,0.40014072,63.0
