theta,p_forced,q,y_rep
0.58590215,0.42800785,0.76313928,76.0
0.61979703,0.43428273,0.78491262,75.0
0.59626456,0.51428616,0.80390011,78.0
0.55883893,0.56645217,0.80873557,83.0
0.37698471,0.65705684,0.78634117,88.0
0.38352461,0.59471427,0.75015132,80.0
0.74193057,0.45198984,0.85857533,84.0
0.49984762,0.62738728,0.81363686,82.0
0.50265669,0.63633432,0.81913331,86.0
0.61182424,0.51483153,0.81166936,83.0
0.52414595,0.465298,0.74555989,77.0
0.62579579,0.48926481,0.80888074,84.0
0.59703071,0.52268069,0.80765498,80.0
0.61196364,0.49640029,0.804585,83.0
0.41528609,0.46192824,0.68538195,79.0
0.55953269,0.47688564,0.76958523,76.0
0.61269758,0.43067464,0.77949891,80.0
0.64209188,0.51507181,0.82644026,87.0
0.53427325,0.52442342,0.77851126,74.0
0.50644237,0.58328981,0.79432951,76.0
0.68068951,0.41926674,0.81456578,79.0
0.61485121,0.45101653,0.78855968,82.0
0.62428894,0.4443002,0.79121744,84.0
0.70268317,0.48109047,0.84571947,90.0
0.69792093,0.47637376,0.84182347,87.0
0.66376549,0.45868639,0.81799168,78.0
0.70286561,0.48905092,0.84817946,88.0
0.63999848,0.40450986,0.78562264,79.0
0.41539688,0.38105898,0.63816515,68.0
0.47507437,0.40138799,0.68577321,67.0
0.75748041,0.55287809,0.89156418,88.0
0.78607117,0.55808587,0.90546183,89.0
0.51788393,0.53264117,0.7746788,71.0
0.53084711,0.56889681,0.79774669,85.0
0.48715081,0.58053313,0.78487676,77.0
0.62895858,0.4502161,0.7960074,83.0
0.64114232,0.50895538,0.82378486,80.0
0.59601671,0.53084121,0.81046769,83.0
0.42226606,0.53069416,0.72886609,79.0
0.73344616,0.47577331,0.86026536,85.0
0.49416521,0.47666067,0.73527676,70.0
0.47344938,0.58858032,0.78336671,77.0
0.53055015,0.62769559,0.82522175,81.0
0.58257271,0.47057006,0.7790015,73.0
0.55420651,0.46705294,0.76241567,67.0
0.67205075,0.5085959,0.8388444,87.0
0.36247701,0.59539959,0.74205793,74.0
0.4912131,0.6543326,0.82412896,82.0
0.42550048,0.5795828,0.75847052,79.0
0.43046091,0.57977853,0.76066745,72.0
0.43257859,0.50313064,0.71806569,69.0
0.64672279,0.53476315,0.83564243,86.0
0.58156883,0.5271575,0.80214796,79.0
0.6754749,0.58480732,0.86525956,88.0
0.52727426,0.58166583,0.80224267,82.0
0.5771921,0.45829208,0.77096161,81.0
0.62273997,0.5985576,0.84855183,87.0
0.74330719,0.38412761,0.84190998,84.0
0.58140223,0.53539361,0.8055168,78.0
0.54152766,0.44981062,0.74775339,76.0
0.52889908,0.4621016,0.74659557,76.0
0.56343759,0.35756972,0.71953909,73.0
0.70082886,0.57596837,0.87314198,87.0
0.30949966,0.55160049,0.69037999,67.0
0.37993607,0.56871942,0.73257847,78.0
0.47210499,0.60363583,0.79076133,84.0
0.6402999,0.45727053,0.80478016,83.0
0.64307037,0.55662358,0.84174582,88.0
0.62821411,0.478281,0.80603224,82.0
0.65283321,0.48627071,0.82165025,78.0
0.56659338,0.4947662,0.78102833,74.0
0.49586188,0.50355985,0.7497256,75.0
0.50449381,0.46857377,0.73667501,70.0
0.48711906,0.45985699,0.72297095,72.0
0.52309966,0.51424583,0.76834367,69.0
0.68966902,0.42062709,0.82020264,79.0
0.76309648,0.38805302,0.85502761,86.0
0.61106166,0.46731713,0.79281921,79.0
0.66185931,0.52026321,0.83778147,79.0
0.52905235,0.51737747,0.77271005,85.0
0.49230609,0.55099534,0.77204306,76.0
0.56403982,0.51809985,0.78991072,78.0
0.56864246,0.51088722,0.78901751,73.0
0.587684,0.45499498,0.77528571,80.0
0.7652824,0.40913223,0.86131293,88.0
0.80181729,0.43265541,0.88756211,84.0
0.31561233,0.56317988,0.70104569,70.0
0.49290342,0.60811923,0.8012786,82.0
0.40501823,0.56202008,0.73940993,71.0
0.36334758,0.60872758,0.75089547,67.0
0.50211529,0.53260041,0.76728889,76.0
0.35498294,0.67751494,0.79199163,75.0
0.35228935,0.51293731,0.68452431,67.0
0.43106198,0.56983005,0.75525996,75.0
0.61760105,0.53943171,0.82387917,82.0
