theta,q,y_rep
0.51849387,0.75924694,77.0
0.62479888,0.81239944,79.0
0.46498312,0.73249156,75.0
0.62909625,0.81454812,78.0
0.51721916,0.75860958,81.0
0.49963912,0.74981956,74.0
0.52067903,0.76033951,72.0
0.636393,0.8181965,81.0
0.61927007,0.80963503,92.0
0.60383793,0.80191896,72.0
0.56625245,0.78312622,87.0
0.60419886,0.80209943,88.0
0.5492412,0.7746206,78.0
0.58371506,0.79185753,83.0
0.54366059,0.7718303,78.0
0.64249328,0.82124664,75.0
0.63836812,0.81918406,79.0
0.63556044,0.81778022,82.0
0.42615611,0.71307806,65.0
0.38369841,0.6918492,76.0
0.70430389,0.85215195,84.0
0.61964096,0.80982048,80.0
0.55830008,0.77915004,72.0
0.66529786,0.83264893,87.0
0.46383274,0.73191637,72.0
0.63638328,0.81819164,76.0
0.49567121,0.74783561,77.0
0.49158579,0.74579289,69.0
0.46625892,0.73312946,66.0
0.66456251,0.83228126,76.0
0.67244194,0.83622097,83.0
0.55874476,0.77937238,81.0
0.55191692,0.77595846,80.0
0.62621931,0.81310966,81.0
0.51863449,0.75931725,74.0
0.62605356,0.81302678,81.0
0.4616551,0.73082755,71.0
0.44548833,0.72274416,70.0
0.66144691,0.83072346,82.0
0.54002197,0.77001099,78.0
0.68135786,0.84067893,83.0
0.68341764,0.84170882,81.0
0.54713079,0.7735654,79.0
0.53302306,0.76651153,73.0
0.53538056,0.76769028,79.0
0.52759908,0.76379954,76.0
0.51280405,0.75640203,75.0
0.64700665,0.82350333,88.0
0.64100681,0.82050341,77.0
